u_prime/sigma,1km,2km,3km,4km,5km,6km,7km,8km,9km,10km,11km,12km,13km,14km,15km,16km,17km,18km,19km,20km,21km,22km,23km,24km,25km,26km,27km,28km,29km
-5.075,0.000150003000060001,0.00016,8.00E-05,0.00016,0.000120001200012,9.00E-05,0.000110001100011,6.00E-05,8.00E-05,0.00012,9.00E-05,0.00015,5.00E-05,0.00013,0.00012,1.40E-04,9.00E-05,8.00E-05,3.00E-05,4.00E-05,6.00E-05,6.00E-05,6.00E-05,1.00E-04,8.00E-05,7.00E-05,6.00E-05,5.00E-05,6.00E-05
-4.9,9.00E-05,0.00012,0.00015,0.00015,0.000150001500015,9.00E-05,0.000170001700017,0.000140001400014,0.000150001500015,0.00014,0.00015,0.00013,0.00011,0.00013,0.00019,0.00013,0.00015,0.00012,0.00011,0.00011,0.00015,8.00E-05,9.00E-05,1.10E-04,5.00E-05,1.20E-04,0.0001,8.00E-05,8.00E-05
-4.725,0.000220004400088002,0.00015,0.00019,0.00017,0.00010000100001,0.000140001400014,0.000170001700017,0.000160001600016,0.000110001100011,0.0002,0.00022,0.0002,0.00025,0.00026,0.0002,0.00021,0.00018,1.90E-04,0.00024,0.00016,0.00017,0.0002,0.00018,0.00011,0.00018,0.00011,0.00017,0.00022,0.00013
-4.55,0.000240004800096002,0.00031,0.00022,0.00016,0.000190001900019,0.000110001100011,0.000180001800018,0.000270002700027,0.000180001800018,0.0002,0.00021,0.00018,0.00019,0.00026,0.00025,0.00021,0.00025,0.00022,0.00023,0.0002,0.00023,0.00023,0.00018,0.00022,0.00023,0.00024,0.00025,0.00016,0.00018
-4.375,0.000250005000100002,0.00028,0.00035,0.00038,0.000280002800028,0.000360003600036,0.000240002400024,0.000320003200032,0.000250002500025,0.00026,0.00025,0.00025,0.00033,0.00031,0.0003,0.00031,0.0003,0.0003,0.00033,0.00036,0.00032,0.0003,0.00024,0.00021,0.00021,0.0003,0.00016,0.00022,0.00018
-4.2,0.000340006800136003,0.00033,0.00036,0.00025,0.000450004500045,0.000440004400044,0.000500005000050001,0.000380003800038,0.000480004800048,0.00035,0.00045,0.00038,0.0004,0.00035,0.0004,0.00036,0.00047,0.00039,0.0004,0.00046,0.00038,0.00043,0.00047,0.00037,0.00051,0.00027,0.00028,0.00029,0.00026
-4.025,0.000460009200184004,0.00038,0.00044,0.00048,0.000520005200052001,0.000470004700047,0.000500005000050001,0.000630006300063001,0.000590005900059001,0.00043,0.00042,0.00055,0.00048,0.00043,0.00044,0.0005,0.00047,0.00055,0.00042,0.00049,0.00052,0.00047,0.00054,0.00058,0.00046,0.00055,0.00054,0.00048,0.00041
-3.85,0.000710014200284006,0.00072,0.00068,0.00065,0.000680006800068001,0.000720007200072001,0.000780007800078001,0.000700007000070001,0.000820008200082001,0.00071,0.00077,0.0007,0.00063,0.00056,0.00065,0.0005,0.0006,0.00061,0.0008,0.00064,0.00057,0.00059,0.00064,0.00055,0.00054,0.00059,0.0007,0.00064,0.00079
-3.675,0.000890017800356007,0.00083,0.00089,0.0008,0.000730007300073001,0.000740007400074001,0.000690006900069001,0.000780007800078001,0.000750007500075001,0.00088,0.00078,0.00077,0.00081,0.00068,0.00063,0.0009,0.00087,0.00077,0.00068,0.0008,0.0007,0.00072,0.00076,0.00087,0.00084,0.00086,0.00082,0.00079,0.00088
-3.5,0.000810016200324007,0.00093,0.001,0.00089,0.000930009300093001,0.0010000100001,0.001190011900119,0.001050010500105,0.001080010800108,0.00112,0.00109,0.00116,0.00093,0.00102,0.001,0.00103,0.0009,0.00109,0.00113,0.00116,0.00117,0.00117,0.00112,0.0013,0.00097,0.00099,0.00104,0.00125,0.00108
-3.325,0.00131002620052401,0.00128,0.00123,0.00129,0.001290012900129,0.001290012900129,0.001380013800138,0.001520015200152,0.001610016100161,0.00161,0.00155,0.00148,0.00144,0.00132,0.0014,0.00152,0.0014,0.00156,0.00127,0.00131,0.00154,0.00134,0.00154,0.00154,0.0015,0.00131,0.00118,0.00127,0.00146
-3.15,0.00174003480069601,0.00154,0.00138,0.00144,0.001670016700167,0.001720017200172,0.001610016100161,0.001620016200162,0.001630016300163,0.0019,0.00168,0.00177,0.00166,0.00194,0.00173,0.00186,0.00196,0.00174,0.00182,0.00195,0.00195,0.002,0.00194,0.00169,0.00214,0.00208,0.00184,0.00174,0.0019
