,floe_id,matlab_index,x_pixel,y_pixel,theta_aqua,theta_terra,datetime,satellite,merged_floe_id,x_stere,y_stere,longitude,latitude,area,perimeter,major_axis,minor_axis,orientation
16691,2013_06586,277,1090.6357541899442,1019.1832402234637,,,2013-08-16 12:26:07,aqua,2013_06586_fixed,526657.1635694725,-896798.3776488501,-14.57583,80.42087,895.0,118.47999999999999,44.029890572995264,26.80454720473333,28.384436351943048
16692,2013_06587,277,1470.2345058626465,294.85929648241205,,,2013-08-16 12:26:07,aqua,2013_06587_fixed,623834.4439976843,-711371.4480511409,-3.75098,81.28191,597.0,97.18399999999998,38.99269955153136,20.575168483708048,-49.20358054344111
16693,2013_06588,277,1923.538775510204,792.4959183673469,,,2013-08-16 12:26:07,aqua,2013_06588_fixed,739880.3370274589,-838766.4232536842,-3.58431,79.70188,490.0,85.26599999999999,34.76233335034619,18.523511618780137,70.38437273365994
16694,2013_06589,277,1932.3734439834025,752.2385892116182,,,2013-08-16 12:26:07,aqua,2013_06589_fixed,742142.0121565978,-828460.5469898176,-3.14575,79.75867,482.0,78.576,29.357662661320887,21.204220126657994,-41.491386450197055
16695,2013_06590,277,1335.2977777777778,4255.337777777778,,,2013-08-16 12:26:07,aqua,,589290.6416079579,-1725253.9392627545,-26.1415,73.28504,450.0,86.35,36.834459048380815,16.46695484665595,-36.990812380121
16696,2013_06591,277,1902.149184149184,986.5710955710956,,,2013-08-16 12:26:07,aqua,2013_06591_fixed,734404.601639038,-888449.6686178439,-5.4224,79.38841,429.0,85.986,38.148930550849066,14.75292185987279,56.964876839549454
16697,2013_06592,277,1190.1103286384975,882.5915492957746,,,2013-08-16 12:26:07,aqua,2013_06592_fixed,552122.6546283022,-861830.9047713617,-12.35478,80.57207,426.0,84.82799999999999,32.92261779016537,18.44360987245707,-21.86928509279707
16698,2013_06593,277,1814.9253731343283,583.636815920398,,,2013-08-16 12:26:07,aqua,2013_06593_fixed,712075.3060192348,-785298.4930272653,-2.7996,80.23695,402.0,76.02799999999999,29.991270730577746,17.590582936930268,56.46357650156743
16699,2013_06594,277,1584.9026315789474,275.46315789473687,,,2013-08-16 12:26:07,aqua,2013_06594_fixed,653189.4841810573,-706406.0365726961,-2.2415,81.13545,380.0,70.94200000000001,26.769838840877537,18.485144490786787,-43.071685024240665
16700,2013_06570,278,1438.147570584373,1506.9824770190414,,,2013-08-16 13:43:32,terra,2013_06570_fixed,615620.1885664463,-1021674.9822685181,-13.92853,79.02115,24368.0,754.386,231.41236483746763,147.8496458767661,-47.58248599396578
16701,2013_06571,278,1722.0741338813857,419.66214034057543,,,2013-08-16 13:43:32,terra,2013_06571_fixed,688305.3887704816,-743320.9760788307,-2.20072,80.66801,13624.0,497.982,154.17853636470252,120.00044616081753,65.98762783461424
16702,2013_06572,278,1297.7563954606655,4080.4192152336987,,,2013-08-16 13:43:32,terra,,579680.0477347772,-1680474.7872514701,-25.96812,73.69651,10398.0,922.394,211.9713385541901,91.63433382778679,17.234138813485846
16703,2013_06573,278,1316.301115678215,50.69677040516735,,,2013-08-16 13:43:32,terra,2013_06573_fixed,584427.4961104698,-648865.8413753662,-2.99093,81.95142,8515.0,401.78999999999996,120.79798798748979,96.85571122282147,75.13201972111968
16704,2013_06574,278,1331.453261821366,4177.753721541156,,,2013-08-16 13:43:32,terra,,588306.4455231165,-1705392.4208661793,-25.96719,73.45786,9136.0,975.4659999999999,142.1230446700685,115.31484747961738,45.14888288121887
16705,2013_06575,278,1205.3922518159807,1002.745493677697,,,2013-08-16 13:43:32,terra,2013_06575_fixed,556034.8269617378,-892590.3145331339,-13.07936,80.31445,3717.0,236.61799999999997,85.33892337598346,56.67426023663513,-65.02050318402377
16706,2013_06576,278,1636.2450014080541,367.95522388059703,,,2013-08-16 13:43:32,terra,2013_06576_fixed,666333.1308573086,-730084.0054650763,-2.61392,80.89383,3551.0,258.13,81.53401664874397,58.42777667791503,64.7210353438109
