,date,floe_id,x_stere,y_stere,longitude,latitude,area,perimeter,major_axis,minor_axis,zeta,zeta_est,u,v,bearing,speed
3085,2009-06-01 12:00:00,2009_04285,635635.9293,-929547.71854,-10.63521,79.63193,45.17551375,26.21037,10.23992,5.9983175,-0.0742756913046371,-0.08674273435945065,0.005695929474784139,-0.016772554202191488,161.24260444341473,0.01771333359498336
3086,2009-06-02 12:00:00,2009_04285,636860.14804,-930466.1469,-10.6102,79.61866,47.932088125,26.5651625,10.554,6.0598,0.02792250294084559,0.039482262335240284,0.013338585404510352,-0.044441623243383147,163.293542898304,0.046400169580511554
3088,2009-05-31 12:00:00,2009_04291,680840.2644,-1124806.95721,-13.81369,77.90588,42.0976025,23.758185,8.55341,6.4650875,-0.9214678550897649,-0.5491561683849912,0.016029338063440993,-0.1901210034712399,175.18071916532443,0.19079553359463972
3089,2009-06-01 12:00:00,2009_04291,690531.05133,-1138142.44022,-13.75407,77.75587,41.4280825,23.93052,8.58957,6.42151,-0.3311144447128588,-0.3288933449930441,0.007232414841680605,0.003581337707193463,63.656367303191814,0.00807055166733524
3091,2009-05-31 12:00:00,2009_04292,769059.21126,-1234969.59643,-13.08802,76.6284,42.679794375,23.8328025,7.78347,7.2232225,-0.6151270724186427,-0.8960764776324945,0.04810574911077339,-0.1083360585317279,156.05677368283773,0.1185363432694743
3092,2009-06-01 12:00:00,2009_04292,777535.33292,-1240718.03138,-12.92538,76.54307,43.969178125,23.998295,7.890145,7.34072,-0.5911858550943101,-0.24180298320554056,0.036883886803821306,-0.1769640043779635,168.22662657376145,0.18076692161798016
3094,2009-05-31 12:00:00,2009_04295,779370.93872,-1491758.13657,-17.41511,74.55347,39.783390625,24.5586975,9.80138,5.430185,-1.1265382871819334,-1.1570893756149239,-0.0905316720552432,-0.23756724793548722,200.8607473520422,0.25423253319895817
3095,2009-06-01 12:00:00,2009_04295,781942.8784,-1513572.73493,-17.67819,74.36715,37.74914375,23.88261,9.50794,5.35874,-0.846062449524917,-0.8084295846224065,-0.19556612947803456,-0.17905492460135872,227.52364486777032,0.26515425137647264
3097,2009-05-31 12:00:00,2009_04296,683007.1506,-1253291.51706,-16.41091,76.87934,37.532534375,22.8186175,8.6795725,5.7097375,0.17451271838961097,0.20867047409782463,-0.032907105827116194,-0.028485313047461987,229.1196182462972,0.043523449694721265
3098,2009-06-01 12:00:00,2009_04296,681688.34506,-1256813.10137,-16.52484,76.85688,37.216609375,22.729035,8.7373625,5.596115,-0.11474772087730586,-0.12235682887654273,-0.0055472424087099435,0.01460425418526591,339.2013485822253,0.01562229620282649
3100,2009-05-31 12:00:00,2009_04333,709907.13316,-728755.70928,-0.75071,80.62843,1402.0234375,172.49684,60.219505,30.232975,-0.03464571831382097,-0.03461628275943647,-0.03682743536004023,-0.09124396614246792,201.9797430522088,0.09839573848803501
3101,2009-06-01 12:00:00,2009_04333,713128.87062,-736622.98774,-0.92842,80.55607,1372.2260275,152.254335,55.6300825,31.6707975,-0.16070489289499218,-0.23313737818205,-0.03748234185013579,-0.0691583269973714,208.4567505031738,0.07866257142787661
3102,2009-06-02 12:00:00,2009_04333,714958.26256,-743168.59739,-1.10835,80.50123,1358.78131625,147.476795,55.250805,31.4881125,-0.1295746547989472,-0.3071618540092791,-0.08911057638990241,-0.12793814125513306,214.85771225767934,0.15591299757351537
3104,2009-05-31 12:00:00,2009_04342,849905.07183,-1186528.34998,-9.38615,76.58593,49.882621875,26.89249,10.299185,6.3089375,0.30952305540867053,0.29437866270414625,-0.0025082386610345096,-0.028528686411971593,185.02451823846604,0.028638736172766438
3105,2009-06-01 12:00:00,2009_04342,851164.24097,-1188658.39297,-9.39463,76.56347,48.4246575,26.1707325,9.6574825,6.53411,0.30952305540867053,0.29437866270414625,-0.006392550257639376,-0.02524229900788395,194.2112345073453,0.026039169687220524
3107,2009-05-31 12:00:00,2009_04343,582182.14975,-749668.32415,-7.16777,81.25422,44.36147125,25.2199675,9.81832,5.9373925,0.15026277366624033,0.20070085203085658,-0.07261930345122342,-0.07728156437411275,223.2185440813045,0.10604717547323456
3108,2009-06-01 12:00:00,2009_04343,581322.09433,-758790.34533,-7.54362,81.19272,48.672945,26.8868425,10.313315,6.222775,0.15026277366624033,0.20070085203085658,-0.06174537282835434,-0.059565357143570655,226.02952356311812,0.0857934894811582
3110,2009-05-31 12:00:00,2009_04347,624934.01288,-887558.91435,-9.85047,80.00388,32.567645,22.985795,10.2995075,4.112815,-0.17972629712313304,-0.18231276591806378,0.007726976455170183,0.02855492577814022,15.141637228148397,0.029581919331474273
3111,2009-06-01 12:00:00,2009_04347,624059.51994,-885157.2954,-9.81513,80.02649,34.75085625,23.9591925,10.6166975,4.2641675,-0.17972629712313304,-0.18231276591806378,0.02576693267569528,0.004015265353971202,81.14282388248591,0.02607790588556939
3113,2009-05-31 12:00:00,2009_04349,654330.77045,-829099.26308,-6.71931,80.27245,26.569740625,18.804245,6.88556,5.0916175,-0.3174319405918104,-0.36267261928551875,0.07892334054619057,0.020258300227620738,75.60392945429004,0.08148185326244357
3114,2009-06-01 12:00:00,2009_04349,658599.21431,-823500.83122,-6.34874,80.28827,27.506849375,18.73339,6.79416,5.2513675,-0.3800854657063538,-0.454518846573133,0.16367447906413451,0.04203995033622773,75.59491410405167,0.1689872554993077
3116,2009-05-31 12:00:00,2009_04353,765994.35117,-1812792.47327,-22.09354,71.97707,19.2040775,17.4215,7.0329725,3.8925725,-0.0009746483670229292,-0.002316091526809476,-0.00017209240067807112,0.00015223893712870858,311.4970944054638,0.00022976616014813988
3117,2009-06-01 12:00:00,2009_04353,765975.53523,-1812786.14443,-22.09398,71.97719,19.0,17.4215,7.020855,3.8707175,0.002450413581360708,0.0032192012885643214,-6.565702791912228e-05,-9.685001558801205e-05,214.13431900534079,0.00011700756742437893
